,Term,LoanStatus,BorrowerAPR,BorrowerRate,ProsperRating,ListingCategory,BorrowerState,Occupation,EmploymentStatus,IncomeRange,StatedMonthlyIncome,LoanOriginalAmount,LoanOriginationDate,MonthlyLoanPayment,LoanOriginationYear
12339,36,Completed,0.16056,0.139,A,Other,TX,Clerical,Employed,"$25,000-49,999",2916.666667,4000,2011-07-27,136.52,2011
12342,36,Completed,0.30532,0.2699,D,Home Improvement,CA,Other,Not employed,Not employed,0.0,7800,2011-10-18,318.39,2011
12343,36,Completed,0.28574,0.2625,D,Other,VT,Other,Retired,"$1-24,999",1911.0,3500,2010-07-12,135.31,2010
12346,36,Completed,0.36438,0.34,E,Other,IL,Executive,Full-time,"$100,000+",10000.0,5000,2010-07-30,97.18,2010
12355,36,Completed,0.27285,0.2346,D,Debt Consolidation,PA,Other,Employed,"$25,000-49,999",2916.666667,4000,2013-05-22,155.8,2013
12360,36,Completed,0.124,0.1029,A,Auto,FL,Pharmacist,Employed,"$100,000+",8333.333333,3100,2011-08-16,100.45,2011
12361,36,non-remittance,0.28851,0.2499,D,Debt Consolidation,VA,Teacher,Employed,"$25,000-49,999",3467.5,5000,2012-07-13,198.77,2012
12363,36,Completed,0.35643,0.3199,E,Other,TN,Teacher,Employed,"$50,000-74,999",5666.666667,2500,2011-03-02,108.87,2011
12368,60,non-remittance,0.27246,0.2468,C,Debt Consolidation,NY,Bus Driver,Employed,"$50,000-74,999",4166.666667,11000,2012-01-13,320.8,2012
12369,60,non-remittance,0.24252,0.2199,C,Home Improvement,CT,Teacher,Full-time,"$50,000-74,999",6083.333333,15000,2011-08-30,414.2,2011
12371,60,non-remittance,0.28704,0.261,D,Business,GA,Executive,Employed,"$50,000-74,999",5416.666667,14000,2012-06-29,420.0,2012
12376,60,Completed,0.17522,0.1519,B,Debt Consolidation,PA,Professional,Employed,"$100,000+",9000.0,20000,2013-06-21,477.8,2013
12377,36,Completed,0.35643,0.3199,E,Debt Consolidation,IL,Analyst,Employed,"$50,000-74,999",5000.0,5000,2011-06-30,217.74,2011
12378,36,Completed,0.35858,0.322,E,Auto,PA,Other,Employed,"$100,000+",9166.666667,5500,2011-01-05,231.47,2011
12382,36,Completed,0.12349,0.12,AA,Business,WI,Professional,Full-time,"$75,000-99,999",7708.333333,25000,2009-12-03,830.36,2009
12390,36,Completed,0.29486,0.2561,D,Other,MO,Administrative Assistant,Employed,"$25,000-49,999",3670.333333,5500,2011-11-29,220.46,2011
12397,36,non-remittance,0.35797,0.3177,HR,Household Expenses,VA,Construction,Employed,"$1-24,999",1800.0,4000,2012-10-05,173.71,2012
12402,36,Completed,0.30899,0.2699,E,Debt Consolidation,KY,Other,Employed,"$50,000-74,999",6125.0,3000,2013-09-24,122.46,2013
12406,36,non-remittance,0.27813,0.255,D,Debt Consolidation,MA,Clerical,Full-time,"$25,000-49,999",3500.0,10000,2010-02-09,400.25,2010
12418,36,Completed,0.22135,0.199,C,Debt Consolidation,OH,Other,Full-time,"$50,000-74,999",4166.666667,3000,2010-07-15,111.34,2010
12419,36,Completed,0.38058,0.3435,E,Debt Consolidation,IL,Scientist,Employed,"$50,000-74,999",4250.0,3250,2010-08-31,145.82,2010
12425,36,Completed,0.08792,0.0845,AA,Other,CA,Sales - Commission,Full-time,"$50,000-74,999",4166.666667,12000,2010-01-29,378.53,2010
12428,36,Completed,0.35797,0.3177,HR,Other,MI,Skilled Labor,Employed,"$100,000+",8333.333333,3000,2012-05-25,130.28,2012
12435,36,Completed,0.19645,0.1599,B,Debt Consolidation,FL,Sales - Retail,Self-employed,"$25,000-49,999",2500.0,12000,2012-08-08,421.83,2012
12438,12,Completed,0.23554,0.1576,C,Debt Consolidation,PA,Sales - Commission,Employed,"$75,000-99,999",7083.333333,15000,2012-06-20,1359.26,2012
12440,36,Completed,0.12309,0.102,A,Debt Consolidation,FL,Police Officer/Correction Officer,Full-time,"$75,000-99,999",7083.333333,10000,2010-03-18,323.61,2010
12448,12,Completed,0.11066,0.0735,A,Vacation,GA,Computer Programmer,Full-time,"$50,000-74,999",5750.0,2000,2012-12-27,173.38,2012
12452,36,Completed,0.35797,0.3177,HR,Debt Consolidation,NY,Other,Other,"$25,000-49,999",3750.0,4000,2012-05-22,173.71,2012
12453,36,Completed,0.23383,0.1999,C,Home Improvement,WI,Retail Management,Employed,"$75,000-99,999",6625.0,10000,2011-01-31,371.58,2011
12463,36,Completed,0.21699,0.18,C,Other,NJ,Other,Employed,"$50,000-74,999",4166.666667,4200,2013-09-30,151.84,2013
12467,36,Completed,0.12442,0.095,A,Other,CA,Executive,Full-time,"$100,000+",8645.0,1200,2009-10-06,38.44,2009
12469,60,Completed,0.23477,0.2151,B,Debt Consolidation,TN,Nurse (LPN),Employed,"$50,000-74,999",4350.0,9500,2011-12-21,259.74,2011
12477,36,non-remittance,0.32538,0.2859,E,Home Improvement,WA,Other,Employed,"$50,000-74,999",5416.666667,4000,2013-01-31,166.73,2013
12480,36,Completed,0.2951,0.2599,D,Auto,OH,Other,Other,"$25,000-49,999",2083.333333,7000,2011-11-21,282.0,2011
12481,36,Completed,0.16056,0.139,A,Other,TX,Engineer - Chemical,Employed,"$50,000-74,999",6166.666667,20000,2011-10-17,682.58,2011
12485,36,non-remittance,0.28339,0.2449,D,Business,NJ,Other,Not employed,Not employed,0.0,8000,2012-09-13,315.92,2012
12489,36,Completed,0.19546,0.1664,B,Other,NJ,Executive,Employed,"$50,000-74,999",4166.666667,5000,2011-12-07,177.37,2011
12496,60,Completed,0.31375,0.287,D,Debt Consolidation,OR,Other,Employed,"$25,000-49,999",3986.666667,6000,2012-05-23,189.36,2012
12499,36,Completed,0.33097,0.295,D,Home Improvement,MO,Professional,Employed,"$75,000-99,999",7500.0,7500,2011-01-07,316.34,2011
12501,36,Completed,0.13524,0.114,A,Debt Consolidation,GA,Other,Full-time,"$75,000-99,999",6250.0,7900,2009-10-27,214.96,2009
12515,36,non-remittance,0.37453,0.35,HR,Debt Consolidation,CA,Other,Full-time,"$50,000-74,999",4166.666667,3000,2010-01-26,135.71,2010
12519,36,Completed,0.25259,0.2148,C,Debt Consolidation,GA,Other,Employed,"$25,000-49,999",3000.0,3000,2012-06-05,113.77,2012
12523,36,non-remittance,0.27467,0.2399,D,Home Improvement,IL,Other,Not employed,Not employed,0.0,8000,2011-09-22,313.82,2011
12532,36,Completed,0.35797,0.3177,HR,Other,WA,Other,Employed,"$25,000-49,999",2666.666667,4000,2012-02-23,173.71,2012
12533,36,Completed,0.17322,0.1515,B,Debt Consolidation,MA,Other,Retired,"$1-24,999",1666.666667,4000,2010-08-31,138.96,2010
12539,12,Completed,0.35843,0.2669,E,Business,WA,Other,Not employed,Not employed,0.0,2000,2011-08-08,191.73,2011
12544,36,Completed,0.21372,0.1768,B,Debt Consolidation,NC,Professional,Employed,"$50,000-74,999",6166.666667,8500,2012-07-02,305.93,2012
12547,36,Completed,0.35244,0.316,E,Other,MO,Clerical,Employed,"$1-24,999",1820.833333,3000,2011-11-30,130.0,2011
12550,36,Completed,0.15375,0.1254,A,Debt Consolidation,CO,Executive,Employed,"$75,000-99,999",7083.333333,8000,2011-11-30,267.78,2011
12557,36,Completed,0.35797,0.3177,HR,Debt Consolidation,NY,Civil Service,Employed,"$75,000-99,999",7500.0,4000,2012-07-05,173.71,2012
12570,36,Completed,0.17359,0.1449,B,Wedding Loans,MO,Engineer - Mechanical,Employed,"$50,000-74,999",5050.833333,15000,2012-03-19,516.24,2012
12571,36,Completed,0.22135,0.199,C,Debt Consolidation,NY,Professional,Full-time,"$100,000+",14166.666667,2600,2010-06-29,96.49,2010
12572,36,Completed,0.38058,0.3435,E,Business,NC,Other,Employed,"$25,000-49,999",4083.333333,3000,2010-10-15,131.73,2010
12602,36,Completed,0.11296,0.092,A,Debt Consolidation,UT,Accountant/CPA,Full-time,"$100,000+",10833.333333,4500,2010-04-26,143.52,2010
12612,36,Completed,0.12528,0.0974,A,Home Improvement,CA,Accountant/CPA,Employed,"$100,000+",8750.0,6000,2011-12-21,192.87,2011
12624,36,Completed,0.124,0.1029,A,Other,UT,Analyst,Full-time,"$50,000-74,999",5833.333333,11000,2011-06-23,356.44,2011
12627,36,Completed,0.11651,0.0955,A,Business,TX,Computer Programmer,Full-time,"$75,000-99,999",7633.333333,10000,2011-02-07,320.56,2011
12631,36,Completed,0.09736,0.0839,AA,Debt Consolidation,MA,Administrative Assistant,Employed,"$25,000-49,999",2500.0,7500,2012-10-30,236.37,2012
12636,36,Completed,0.12299,0.1019,A,Other,TX,Sales - Commission,Full-time,"$75,000-99,999",7500.0,5000,2009-10-16,161.78,2009
12644,60,Completed,0.20358,0.1845,B,Debt Consolidation,CT,Executive,Full-time,"$100,000+",9583.333333,12000,2012-03-30,307.67,2012
12653,36,non-remittance,0.20462,0.1679,B,Debt Consolidation,CT,Other,Employed,"$50,000-74,999",5666.666667,20400,2012-12-04,725.19,2012
12654,12,Completed,0.22352,0.1458,C,Baby&Adoption,WA,Doctor,Employed,"$100,000+",16666.666667,15000,2013-02-27,1350.9,2013
12656,36,Completed,0.29254,0.2574,D,Home Improvement,VA,Military Enlisted,Employed,"$75,000-99,999",6666.666667,10000,2011-10-26,401.52,2011
12660,36,Completed,0.31053,0.275,D,Debt Consolidation,MA,Analyst,Employed,"$50,000-74,999",4416.666667,4000,2010-10-08,164.38,2010
12661,36,Completed,0.33973,0.2999,E,Debt Consolidation,NY,Teacher,Employed,"$50,000-74,999",5666.666667,4000,2012-03-20,169.78,2012
12666,12,Completed,0.27181,0.1932,D,Debt Consolidation,FL,Other,Employed,"$25,000-49,999",3500.0,7000,2013-03-11,646.17,2013
12667,36,Completed,0.21096,0.18,C,Debt Consolidation,SC,Food Service Management,Full-time,"$50,000-74,999",5000.0,1200,2009-10-29,43.38,2009
12669,36,non-remittance,0.35643,0.3199,HR,Other,FL,Construction,Self-employed,"$50,000-74,999",4166.666667,4000,2011-10-31,174.2,2011
12675,36,Completed,0.06437,0.061,AA,Other,KY,Teacher,Full-time,"$50,000-74,999",5666.666667,3000,2010-01-25,91.4,2010
12687,36,non-remittance,0.35643,0.3199,E,Auto,FL,Sales - Retail,Self-employed,"$1-24,999",666.666667,7500,2011-04-28,326.62,2011
12689,36,Completed,0.35643,0.3199,E,Debt Consolidation,WI,Tradesman - Mechanic,Employed,"$50,000-74,999",4166.666667,6000,2011-04-08,261.29,2011
12692,36,Completed,0.17069,0.149,B,Debt Consolidation,MD,Analyst,Employed,"$50,000-74,999",4416.666667,5000,2011-01-12,0.0,2011
12693,60,Completed,0.29464,0.2684,D,Business,FL,Other,Employed,"$100,000+",15833.333333,15000,2012-08-28,456.6,2012
12696,36,Completed,0.08325,0.0699,AA,Debt Consolidation,CA,Engineer - Electrical,Employed,"$75,000-99,999",7500.0,2000,2013-05-24,61.75,2013
12697,60,Completed,0.31375,0.287,D,Home Improvement,NV,Other,Other,"$25,000-49,999",3669.916667,6000,2012-03-27,189.36,2012
12704,36,Completed,0.35797,0.3177,HR,Business,FL,Executive,Self-employed,"$75,000-99,999",7083.333333,4000,2012-01-20,173.71,2012
12706,36,Completed,0.38058,0.3435,E,Debt Consolidation,TX,Other,Employed,"$50,000-74,999",5833.333333,7000,2010-09-21,314.08,2010
12707,36,Completed,0.2021,0.18,C,Debt Consolidation,NY,Analyst,Full-time,"$50,000-74,999",4875.0,2500,2010-02-11,90.38,2010
12708,36,Completed,0.2951,0.2599,D,Auto,FL,Analyst,Employed,"$75,000-99,999",7041.666667,3000,2011-03-21,120.86,2011
12710,36,Completed,0.09333,0.0799,AA,Debt Consolidation,NJ,Other,Employed,"$100,000+",10000.0,24000,2013-07-19,751.96,2013
12714,36,non-remittance,0.22237,0.2,B,Debt Consolidation,IL,Computer Programmer,Full-time,"$75,000-99,999",6333.333333,6500,2009-12-07,241.56,2009
12718,36,Completed,0.23939,0.2019,C,Large Purchases,MD,Computer Programmer,Employed,"$100,000+",10812.583333,15000,2013-03-19,558.91,2013
12720,12,Completed,0.05927,0.0499,AA,Debt Consolidation,NJ,Truck Driver,Employed,"$75,000-99,999",6666.666667,2000,2011-03-16,171.21,2011
12723,60,Completed,0.21566,0.1914,C,Debt Consolidation,MI,Accountant/CPA,Employed,"$50,000-74,999",5833.333333,5000,2013-07-15,130.09,2013
12724,36,Completed,0.0779,0.0745,AA,Other,IL,Accountant/CPA,Full-time,"$75,000-99,999",6750.0,7000,2010-02-09,217.58,2010
12727,12,Completed,0.09986,0.0628,A,Auto,OH,Computer Programmer,Employed,"$50,000-74,999",5000.0,3000,2012-04-16,258.59,2012
12738,60,non-remittance,0.28848,0.2624,D,Home Improvement,TX,Executive,Employed,"$100,000+",11960.0,10000,2012-11-23,300.83,2012
12739,36,Completed,0.15955,0.138,B,Debt Consolidation,MI,Professional,Full-time,"$75,000-99,999",7083.333333,5000,2010-04-07,170.4,2010
12741,36,non-remittance,0.37546,0.3385,HR,Debt Consolidation,UT,Sales - Retail,Full-time,"$1-24,999",1120.0,2000,2010-11-03,89.18,2010
12744,60,Completed,0.31375,0.287,D,Debt Consolidation,NY,Sales - Commission,Employed,"$25,000-49,999",2083.333333,6000,2012-05-16,189.36,2012
12748,36,Completed,0.19645,0.1599,B,Debt Consolidation,GA,Analyst,Employed,"$75,000-99,999",7416.666667,8700,2012-08-03,305.82,2012
12751,36,Completed,0.21476,0.19,C,Business,CA,Other,Full-time,"$25,000-49,999",3159.166667,1500,2010-03-11,54.98,2010
12752,36,Completed,0.08591,0.0825,AA,Auto,CA,Accountant/CPA,Employed,"$75,000-99,999",6541.666667,3500,2010-09-03,0.0,2010
12756,36,Completed,0.28675,0.2635,D,Home Improvement,FL,Teacher,Full-time,"$75,000-99,999",7083.333333,5950,2009-10-27,239.62,2009
12762,36,Completed,0.10993,0.089,A,Debt Consolidation,OH,Truck Driver,Employed,"$50,000-74,999",6000.0,10000,2011-04-14,317.53,2011
12763,36,non-remittance,0.2974,0.274,D,Debt Consolidation,WA,Other,Full-time,"$1-24,999",166.666667,2500,2010-02-19,102.6,2010
12765,36,non-remittance,0.35797,0.3177,HR,Debt Consolidation,MD,Professional,Employed,"$50,000-74,999",5416.666667,4000,2012-04-09,173.71,2012
12772,36,Completed,0.12309,0.102,A,Debt Consolidation,NY,Professional,Full-time,"$75,000-99,999",8300.0,8000,2010-02-25,258.89,2010
12773,36,Completed,0.25013,0.2124,C,Vacation,KY,Other,Employed,"$25,000-49,999",2826.25,2000,2013-01-08,75.6,2013
12775,36,non-remittance,0.12427,0.0964,A,Home Improvement,IL,Other,Employed,"$75,000-99,999",6666.666667,11500,2012-05-11,369.13,2012
12776,36,non-remittance,0.20462,0.1679,B,Debt Consolidation,TX,Nurse's Aide,Employed,"$1-24,999",2000.0,3500,2012-10-31,124.42,2012
12791,36,Completed,0.26681,0.2287,D,Debt Consolidation,WA,Accountant/CPA,Employed,"$75,000-99,999",7877.083333,12000,2012-04-02,463.7,2012
12797,36,Completed,0.25247,0.2297,C,Business,MD,Doctor,Full-time,"$100,000+",16916.666667,3000,2009-11-03,116.08,2009
12805,36,Completed,0.30532,0.2699,D,Debt Consolidation,CT,Other,Other,"$25,000-49,999",2324.5,7500,2011-01-31,306.15,2011
12808,36,Completed,0.14358,0.1154,A,Home Improvement,MI,Truck Driver,Employed,"$25,000-49,999",2500.0,5000,2011-12-16,164.98,2011
12814,36,non-remittance,0.17359,0.1449,B,Home Improvement,NC,Skilled Labor,Employed,"$25,000-49,999",2475.0,4000,2012-02-23,137.66,2012
12817,36,Completed,0.08822,0.0848,AA,Debt Consolidation,OR,Clerical,Full-time,"$25,000-49,999",3083.333333,2500,2010-04-08,78.9,2010
12823,60,Completed,0.23318,0.2085,B,Home Improvement,TX,Biologist,Employed,"$25,000-49,999",2666.666667,7000,2012-06-20,188.78,2012
12839,60,non-remittance,0.26528,0.2398,C,Debt Consolidation,NY,Computer Programmer,Employed,"$75,000-99,999",8000.0,15000,2012-10-17,431.35,2012
12842,36,Completed,0.18544,0.13,B,Debt Consolidation,TX,Sales - Commission,Full-time,"$25,000-49,999",3500.0,1000,2010-11-02,33.69,2010
12843,36,non-remittance,0.18173,0.1599,B,Debt Consolidation,CA,Other,Full-time,"$100,000+",9583.333333,6000,2011-07-22,210.91,2011
12850,60,Completed,0.26887,0.2433,C,Home Improvement,GA,Computer Programmer,Employed,"$100,000+",10833.333333,15000,2012-07-31,434.4,2012
12853,36,non-remittance,0.2951,0.2599,D,Other,DC,Professional,Employed,"$75,000-99,999",6250.0,9000,2011-06-06,362.57,2011
12855,36,Completed,0.28675,0.2635,D,Debt Consolidation,MD,Nurse (RN),Full-time,"$75,000-99,999",6833.333333,3500,2009-09-30,141.67,2009
12857,36,Completed,0.28974,0.2511,D,Debt Consolidation,CA,Executive,Employed,"$100,000+",13333.333333,2000,2011-12-16,79.64,2011
12858,60,non-remittance,0.26528,0.2398,C,Household Expenses,WV,Other,Not employed,Not employed,0.0,6500,2012-10-31,186.92,2012
12862,60,Completed,0.14766,0.1296,A,Auto,AK,Skilled Labor,Employed,"$75,000-99,999",7083.333333,17000,2012-03-23,386.45,2012
12865,60,non-remittance,0.2893,0.2632,D,Large Purchases,TX,Sales - Retail,Employed,"$1-24,999",833.333333,15000,2012-08-21,451.95,2012
12874,36,Completed,0.34577,0.3058,E,Household Expenses,AZ,Professional,Employed,"$1-24,999",1666.666667,3000,2012-01-26,128.31,2012
12876,36,non-remittance,0.18173,0.1599,B,Home Improvement,VA,Executive,Employed,"$100,000+",11500.0,5000,2011-06-23,175.76,2011
12877,36,Completed,0.15538,0.127,A,Business,IL,Military Enlisted,Employed,"$25,000-49,999",2083.333333,2000,2012-04-23,67.1,2012
12885,36,non-remittance,0.07439,0.071,AA,Home Improvement,CA,Professional,Self-employed,"$25,000-49,999",3333.333333,2500,2010-03-05,77.31,2010
12886,36,non-remittance,0.35797,0.3177,HR,Auto,NY,Food Service Management,Employed,"$1-24,999",1833.333333,4000,2012-04-20,173.71,2012
12888,36,Completed,0.13138,0.1034,A,Business,OR,Other,Employed,"$50,000-74,999",4916.666667,15000,2013-06-27,486.41,2013
12890,36,Completed,0.15375,0.1254,A,Home Improvement,UT,Accountant/CPA,Employed,"$25,000-49,999",2500.0,4000,2011-11-29,133.89,2011
12893,36,Completed,0.1716,0.1499,B,Other,WI,Nurse (RN),Employed,"$75,000-99,999",7500.0,7500,2011-05-19,259.95,2011
12897,60,Completed,0.3304,0.3032,E,Debt Consolidation,IL,Professional,Employed,"$50,000-74,999",4333.333333,4000,2013-05-09,130.2,2013
12899,36,Completed,0.21738,0.18,C,Home Improvement,GA,Fireman,Full-time,"$25,000-49,999",2837.583333,1000,2009-07-30,36.15,2009
12903,36,non-remittance,0.31053,0.275,D,Debt Consolidation,NC,Retail Management,Employed,"$25,000-49,999",2333.333333,4000,2010-09-03,164.38,2010
12905,36,non-remittance,0.38058,0.3435,E,Other,MD,Other,Employed,"$100,000+",9333.333333,4200,2010-10-04,188.45,2010
12909,36,non-remittance,0.3546,0.314,E,Auto,IL,Clerical,Full-time,"$25,000-49,999",4050.0,1000,2009-08-26,43.22,2009
12910,60,Completed,0.20436,0.1899,B,Debt Consolidation,VA,Other,Employed,"$100,000+",8333.333333,7162,2011-07-12,185.74,2011
12912,36,Completed,0.06828,0.0649,AA,Debt Consolidation,NJ,Sales - Commission,Employed,"$100,000+",9166.666667,2000,2012-02-03,61.29,2012
12922,36,Completed,0.35643,0.3199,E,Other,LA,Other,Not employed,Not employed,0.0,2000,2011-07-19,87.1,2011
12939,36,Completed,0.23438,0.197,C,Household Expenses,MI,Other,Employed,"$25,000-49,999",2500.0,3000,2013-12-16,111.03,2013
12941,60,Completed,0.27554,0.2498,C,Debt Consolidation,TX,Professional,Employed,"$75,000-99,999",7725.0,22500,2012-07-30,660.14,2012
12951,36,Completed,0.17359,0.1449,B,Cosmetic Procedure,KS,Analyst,Employed,"$50,000-74,999",4166.666667,2500,2012-02-22,86.04,2012
12953,60,non-remittance,0.29371,0.2699,D,Home Improvement,FL,Waiter/Waitress,Employed,"$50,000-74,999",4583.333333,10000,2011-08-31,305.29,2011
12959,36,Completed,0.34887,0.3125,HR,Debt Consolidation,PA,Professional,Employed,"$100,000+",8541.666667,4000,2011-03-31,172.56,2011
12962,36,non-remittance,0.34887,0.3125,HR,Other,TX,Other,Employed,"$25,000-49,999",2500.0,4000,2011-08-09,172.56,2011
12971,36,non-remittance,0.35356,0.3134,HR,Debt Consolidation,NJ,Clerical,Employed,"$25,000-49,999",2916.666667,4000,2013-03-18,172.76,2013
12980,36,Completed,0.30532,0.2699,D,Debt Consolidation,CA,Food Service Management,Employed,"$1-24,999",1425.0,3000,2011-09-22,122.46,2011
12986,12,Completed,0.22357,0.1259,C,Debt Consolidation,FL,Administrative Assistant,Full-time,"$50,000-74,999",4333.333333,2500,2012-02-23,222.81,2012
12988,60,non-remittance,0.3268,0.2997,D,Debt Consolidation,CA,Other,Employed,"$50,000-74,999",5416.666667,5500,2012-01-27,177.84,2012
12989,60,Completed,0.29371,0.2699,D,Business,CT,Engineer - Electrical,Employed,"$25,000-49,999",3000.0,10000,2011-09-27,305.29,2011
12990,36,non-remittance,0.16147,0.1399,B,Business,TX,Skilled Labor,Employed,"$50,000-74,999",4166.666667,11000,2011-03-30,375.9,2011
12993,36,Completed,0.30271,0.27,D,Auto,ID,Other,Full-time,"$1-24,999",2000.0,1200,2010-04-02,47.52,2010
12995,36,Completed,0.33665,0.2969,E,Debt Consolidation,PA,Administrative Assistant,Employed,"$1-24,999",1916.666667,2000,2012-09-27,84.56,2012
12997,36,Completed,0.27285,0.2346,D,Debt Consolidation,CA,Teacher,Employed,"$50,000-74,999",5666.666667,3500,2012-11-30,136.32,2012
13000,36,Completed,0.38723,0.35,HR,Debt Consolidation,LA,Other,Employed,"$25,000-49,999",3083.333333,2000,2010-08-03,90.47,2010
13002,36,Completed,0.12528,0.0974,A,Other,CA,Other,Employed,"$50,000-74,999",5000.0,20500,2012-09-24,658.98,2012
13003,36,non-remittance,0.35797,0.3177,HR,Business,SC,Clergy,Employed,"$1-24,999",1833.333333,3500,2012-03-06,151.99,2012
13006,60,Completed,0.27462,0.2489,C,Business,UT,Retail Management,Self-employed,"$25,000-49,999",2166.666667,15000,2012-04-27,439.3,2012
13008,36,Completed,0.09221,0.0715,AA,Other,MI,Computer Programmer,Full-time,"$50,000-74,999",4166.666667,4000,2009-08-13,123.78,2009
13019,12,Completed,0.18192,0.1246,B,Debt Consolidation,FL,Computer Programmer,Full-time,"$75,000-99,999",6250.0,8000,2012-10-05,675.59,2012
13021,36,Completed,0.35797,0.3177,HR,Debt Consolidation,GA,Medical Technician,Employed,"$50,000-74,999",4333.333333,4000,2012-05-22,173.71,2012
13022,12,Completed,0.25785,0.1795,D,Household Expenses,MD,Professional,Employed,"$100,000+",16827.0,5250,2012-11-14,481.2,2012
13025,36,Completed,0.11296,0.092,A,Other,OR,Computer Programmer,Full-time,"$25,000-49,999",2600.0,5000,2010-06-29,159.46,2010
13026,36,non-remittance,0.35643,0.3199,E,Debt Consolidation,MS,Nurse (RN),Employed,"$75,000-99,999",6250.0,7500,2011-08-17,326.62,2011
13029,36,Completed,0.17359,0.1449,B,Business,AZ,Sales - Commission,Employed,"$1-24,999",1166.666667,4000,2012-03-20,137.66,2012
13032,36,Completed,0.38723,0.35,HR,Home Improvement,PA,Professional,Full-time,"$25,000-49,999",3791.666667,3000,2010-11-17,135.71,2010
13043,36,Completed,0.22105,0.1987,C,Other,MI,Retail Management,Full-time,"$50,000-74,999",5166.666667,2300,2009-12-21,85.32,2009
13044,36,Completed,0.11296,0.092,A,Home Improvement,FL,Analyst,Full-time,"$75,000-99,999",7275.0,4000,2010-04-12,127.57,2010
13048,60,Completed,0.27462,0.2489,C,Debt Consolidation,IN,Professional,Employed,"$100,000+",9333.333333,13000,2012-04-25,380.73,2012
13049,36,Completed,0.31053,0.275,D,Other,CT,Professional,Employed,"$75,000-99,999",7083.333333,6000,2010-08-16,246.56,2010
13054,36,Completed,0.30532,0.2699,D,Other,LA,Teacher,Employed,"$1-24,999",2000.0,4000,2011-02-15,0.0,2011
13055,60,Completed,0.09826,0.0961,AA,Other,FL,Accountant/CPA,Employed,"$100,000+",10833.333333,25000,2012-01-17,526.39,2012
13059,60,Completed,0.27554,0.2498,C,Debt Consolidation,MN,Military Enlisted,Employed,"$25,000-49,999",2083.333333,7500,2012-09-07,220.05,2012
13065,36,Completed,0.11651,0.0955,A,Business,AZ,Truck Driver,Employed,"$25,000-49,999",3750.0,5000,2011-01-31,160.28,2011
13070,36,Completed,0.31308,0.2775,D,Home Improvement,NV,Other,Employed,"$75,000-99,999",7692.0,3000,2011-01-12,123.69,2011
13071,36,Completed,0.35797,0.3177,HR,Business,IL,Executive,Self-employed,"$75,000-99,999",6250.0,3500,2012-05-31,151.99,2012
13076,36,Completed,0.35797,0.3177,HR,Debt Consolidation,MD,Teacher's Aide,Employed,"$1-24,999",1971.083333,2500,2012-02-24,108.57,2012
13077,36,non-remittance,0.35797,0.3177,HR,Medical/Dental,MN,Other,Other,"$1-24,999",1041.666667,2500,2012-10-10,108.57,2012
13080,36,Completed,0.35797,0.3177,HR,Business,NY,Sales - Commission,Self-employed,"$50,000-74,999",4166.666667,4000,2012-12-27,173.71,2012
13085,36,Completed,0.12427,0.0964,A,Debt Consolidation,KY,Teacher,Employed,"$50,000-74,999",4416.666667,3000,2012-07-23,96.3,2012
13088,36,Completed,0.18173,0.1599,B,Debt Consolidation,OH,Engineer - Mechanical,Employed,"$75,000-99,999",7500.0,10000,2011-06-30,351.52,2011
13100,60,Completed,0.23656,0.2118,C,Debt Consolidation,IN,Other,Employed,"$1-24,999",1958.333333,9000,2012-10-31,244.39,2012
13105,36,Completed,0.35797,0.3177,HR,Debt Consolidation,CO,Civil Service,Employed,"$50,000-74,999",6000.0,4000,2012-09-10,173.71,2012
13114,36,Completed,0.25846,0.2356,C,Business,CA,Computer Programmer,Full-time,"$25,000-49,999",3583.333333,3100,2010-07-08,120.91,2010
13125,60,non-remittance,0.32989,0.3027,D,Home Improvement,AZ,Other,Not employed,Not employed,0.0,10000,2012-01-12,325.19,2012
13135,36,Completed,0.17069,0.149,B,Home Improvement,AL,Other,Employed,"$100,000+",8625.0,10000,2010-12-06,346.16,2010
13137,36,Completed,0.27285,0.2346,D,Household Expenses,SC,Other,Employed,"$1-24,999",1666.666667,4000,2013-02-06,155.8,2013
13140,36,Completed,0.28339,0.2449,D,Business,MA,Other,Employed,"$25,000-49,999",3500.0,2500,2012-01-31,98.73,2012
13155,36,Completed,0.35285,0.3127,HR,Other,NY,Professional,Employed,"$100,000+",10833.333333,4000,2011-12-19,172.6,2011
13158,36,Completed,0.17359,0.1449,B,Home Improvement,TX,Professional,Employed,"$100,000+",17916.666667,13000,2012-02-24,447.41,2012
13159,36,Completed,0.17754,0.1414,B,Other,CO,Other,Employed,"$100,000+",10416.666667,25000,2013-03-20,856.14,2013
13160,36,non-remittance,0.38058,0.3435,E,Home Improvement,TN,Teacher,Employed,"$50,000-74,999",4833.333333,3000,2010-11-12,134.61,2010
13161,36,non-remittance,0.35797,0.3177,HR,Business,CA,Analyst,Employed,"$50,000-74,999",5500.0,4000,2012-07-09,173.71,2012
13162,36,Completed,0.23121,0.1939,C,Debt Consolidation,NY,Computer Programmer,Employed,"$100,000+",9875.0,19000,2013-06-21,700.22,2013
13166,36,non-remittance,0.24246,0.2049,C,Vacation,MN,Engineer - Mechanical,Employed,"$50,000-74,999",5083.333333,5000,2012-03-20,187.07,2012
13176,36,non-remittance,0.35797,0.3177,HR,Household Expenses,NE,Executive,Employed,"$100,000+",14583.333333,4000,2012-10-22,173.71,2012
