Term,LoanStatus,BorrowerAPR,BorrowerRate,ProsperRating,ListingCategory,BorrowerState,Occupation,EmploymentStatus,IncomeRange,StatedMonthlyIncome,LoanOriginalAmount,LoanOriginationDate,MonthlyLoanPayment,LoanOriginationYear
36,Completed,0.35797,0.3177,HR,Taxes,WI,Professional,Employed,"$50,000-74,999",5083.333333,4000,2012-04-11,173.71,2012
36,Completed,0.12337,0.088,A,Other,OR,Other,Part-time,"$1-24,999",583.333333,1000,2010-04-13,31.71,2010
36,non-remittance,0.19645,0.1599,B,Debt Consolidation,OH,Retail Management,Employed,"$100,000+",9666.666667,10000,2012-09-07,351.52,2012
60,Completed,0.21935,0.195,C,Debt Consolidation,MD,Other,Employed,"$50,000-74,999",4250.0,15000,2013-09-26,393.25,2013
12,Completed,0.31368,0.2343,E,Other,MD,Other,Employed,"$50,000-74,999",4166.666667,2000,2012-07-03,147.68,2012
36,Completed,0.22135,0.199,C,Business,MI,Sales - Commission,Self-employed,"$25,000-49,999",3916.666667,2000,2010-03-09,71.9,2010
36,non-remittance,0.25259,0.2148,C,Debt Consolidation,VA,Food Service,Employed,"$1-24,999",1733.333333,2900,2012-05-30,109.97,2012
36,Completed,0.37453,0.35,E,Business,MI,Professional,Full-time,"$25,000-49,999",4000.0,3000,2010-03-30,135.71,2010
36,Completed,0.38723,0.35,HR,Business,FL,Accountant/CPA,Self-employed,"$100,000+",14166.666667,5000,2010-11-12,226.18,2010
36,Completed,0.24246,0.2049,C,Debt Consolidation,CA,Other,Employed,"$25,000-49,999",3234.916667,8000,2012-02-09,299.31,2012
36,Completed,0.35643,0.3199,HR,Other,NC,Military Enlisted,Employed,"$25,000-49,999",3050.833333,2000,2011-03-18,87.1,2011
36,Completed,0.35797,0.3177,HR,Debt Consolidation,CA,Other,Employed,"$50,000-74,999",4833.333333,4000,2012-05-25,173.71,2012
36,Completed,0.19645,0.1599,B,Vacation,IL,Clerical,Employed,"$25,000-49,999",3666.666667,2500,2013-05-23,87.88,2013
36,Completed,0.28974,0.2511,D,Other,NY,Food Service,Employed,"$25,000-49,999",2250.0,4500,2011-12-21,179.18,2011
36,non-remittance,0.2837,0.2452,D,Debt Consolidation,AZ,Sales - Retail,Employed,"$25,000-49,999",3500.0,12000,2012-03-02,474.08,2012
36,Completed,0.35797,0.3177,HR,Other,MO,Other,Employed,"$1-24,999",1500.0,3000,2012-04-26,130.28,2012
36,Completed,0.12427,0.0964,A,Debt Consolidation,NY,Other,Employed,"$50,000-74,999",5000.0,7000,2012-05-16,224.69,2012
36,Completed,0.30532,0.2699,D,Debt Consolidation,CA,Other,Full-time,"$1-24,999",1416.666667,4000,2011-07-28,163.28,2011
36,Completed,0.31053,0.275,D,Debt Consolidation,AZ,Other,Employed,"$25,000-49,999",2083.333333,5000,2010-11-17,205.47,2010
60,Completed,0.15936,0.1364,A,Debt Consolidation,MI,Accountant/CPA,Employed,"$50,000-74,999",6000.0,15000,2012-10-10,346.23,2012
36,Completed,0.13799,0.1099,A,Debt Consolidation,MS,Clerical,Employed,"$50,000-74,999",4534.333333,15000,2013-11-13,491.01,2013
12,Completed,0.30461,0.2254,E,Other,FL,Other,Employed,"$1-24,999",250.0,2500,2012-09-05,0.0,2012
36,non-remittance,0.21434,0.1774,C,Taxes,TX,Food Service Management,Employed,"$50,000-74,999",4166.666667,11000,2012-09-07,396.24,2012
36,Completed,0.12511,0.104,A,Other,MD,Other,Full-time,"$50,000-74,999",6072.833333,4999,2009-10-27,162.24,2009
60,Completed,0.22283,0.1984,C,Debt Consolidation,CA,Other,Employed,"$25,000-49,999",4083.333333,20000,2013-05-01,528.1,2013
60,non-remittance,0.20358,0.1845,B,Household Expenses,VA,Professional,Employed,"$100,000+",8333.333333,10500,2012-01-27,269.21,2012
36,Completed,0.12461,0.1035,A,Debt Consolidation,NY,Other,Full-time,"$100,000+",8416.666667,6000,2009-09-04,194.59,2009
36,Completed,0.25217,0.1945,D,Debt Consolidation,MO,Other,Employed,"$50,000-74,999",4166.666667,1000,2010-08-10,36.88,2010
12,Completed,0.21649,0.1389,C,Other,WI,Computer Programmer,Employed,"$25,000-49,999",3666.666667,15000,2012-12-28,0.0,2012
36,Completed,0.12309,0.102,A,Debt Consolidation,AK,Other,Retired,"$50,000-74,999",5833.333333,13200,2010-05-19,427.17,2010
36,Completed,0.06888,0.0655,AA,Other,MI,Engineer - Mechanical,Employed,"$25,000-49,999",3833.333333,6000,2011-02-03,184.03,2011
36,Completed,0.35643,0.3199,E,Debt Consolidation,KY,Executive,Employed,"$75,000-99,999",7708.333333,4000,2011-03-02,174.2,2011
36,Completed,0.37453,0.35,HR,Home Improvement,OH,Professional,Full-time,"$75,000-99,999",6833.333333,2000,2010-01-22,90.47,2010
36,Completed,0.22742,0.1902,C,Business,MD,Executive,Employed,"$75,000-99,999",8291.666667,9000,2012-06-26,330.0,2012
36,Completed,0.202,0.1799,B,Debt Consolidation,IN,Realtor,Employed,"$50,000-74,999",4583.333333,15000,2011-11-14,542.21,2011
36,Completed,0.25259,0.2148,C,Debt Consolidation,MO,Executive,Employed,"$50,000-74,999",5166.666667,5500,2012-06-27,208.57,2012
36,Completed,0.11296,0.092,A,Debt Consolidation,MA,Executive,Full-time,"$50,000-74,999",5966.666667,5000,2010-04-30,159.46,2010
36,Completed,0.28974,0.2511,D,Auto,FL,Professional,Employed,"$1-24,999",1833.333333,2000,2011-12-14,79.64,2011
36,non-remittance,0.35643,0.3199,E,Debt Consolidation,FL,Other,Employed,"$25,000-49,999",4000.0,7500,2011-06-10,326.62,2011
36,Completed,0.24807,0.21,HR,Other,OH,Administrative Assistant,Full-time,"$25,000-49,999",2500.0,1000,2010-01-29,37.68,2010
60,Completed,0.35838,0.3304,E,Home Improvement,CA,Computer Programmer,Employed,"$50,000-74,999",5520.833333,2000,2012-06-19,68.49,2012
36,Completed,0.35132,0.3149,E,Other,AR,Other,Employed,"$25,000-49,999",2250.0,2500,2011-11-08,108.18,2011
36,non-remittance,0.35797,0.3177,HR,Debt Consolidation,CA,Professional,Employed,"$50,000-74,999",5416.666667,4000,2012-03-07,173.71,2012
36,non-remittance,0.202,0.1799,B,Business,IL,Other,Employed,"$25,000-49,999",2833.333333,11000,2011-09-19,397.62,2011
36,Completed,0.37453,0.35,HR,Debt Consolidation,NV,Waiter/Waitress,Full-time,"$1-24,999",1750.0,5000,2010-04-28,226.18,2010
36,Completed,0.30532,0.2699,D,Other,PA,Tradesman - Plumber,Self-employed,"$25,000-49,999",3750.0,7000,2011-07-21,285.74,2011
12,Completed,0.09986,0.0628,A,Home Improvement,GA,Sales - Commission,Employed,"$100,000+",19583.333333,2000,2012-06-29,0.0,2012
36,Completed,0.17359,0.1449,B,Taxes,AL,Professional,Employed,"$50,000-74,999",5625.0,3000,2012-03-02,103.25,2012
60,Completed,0.22693,0.2024,B,Debt Consolidation,MN,Administrative Assistant,Employed,"$25,000-49,999",2250.0,11000,2012-12-17,292.9,2012
12,Completed,0.31368,0.2343,E,Medical/Dental,TX,Professional,Employed,"$75,000-99,999",7787.5,4000,2012-06-19,377.14,2012
36,Completed,0.35797,0.3177,HR,Debt Consolidation,NJ,Executive,Employed,"$100,000+",10250.0,4000,2012-08-28,173.71,2012
12,Completed,0.11731,0.0801,A,Debt Consolidation,CT,Other,Other,"$100,000+",14800.0,11900,2012-11-23,1035.22,2012
12,Completed,0.28525,0.2064,D,Home Improvement,NJ,Computer Programmer,Employed,"$100,000+",15000.0,3000,2013-03-14,278.82,2013
36,Completed,0.06888,0.0655,AA,Home Improvement,GA,Engineer - Mechanical,Employed,"$100,000+",9166.666667,6500,2011-04-08,199.37,2011
12,Completed,0.24369,0.1656,C,Debt Consolidation,PA,Professional,Employed,"$25,000-49,999",3135.833333,5500,2013-01-16,500.48,2013
36,Completed,0.28675,0.2635,D,Debt Consolidation,DC,Professional,Full-time,"$50,000-74,999",6224.916667,6500,2009-10-02,263.1,2009
36,non-remittance,0.35797,0.3177,HR,Debt Consolidation,CA,Sales - Commission,Self-employed,"$1-24,999",1666.666667,3300,2012-01-24,143.31,2012
36,Completed,0.35797,0.3177,HR,Other,FL,Other,Employed,"$25,000-49,999",3416.666667,2000,2012-02-07,86.85,2012
36,Completed,0.19088,0.1619,B,Home Improvement,OR,Professional,Employed,"$50,000-74,999",5996.25,4000,2011-11-21,141.0,2011
36,non-remittance,0.3179,0.2786,E,Debt Consolidation,MA,Nurse's Aide,Full-time,"$25,000-49,999",3500.0,4000,2012-11-08,165.15,2012
12,Completed,0.17969,0.1224,B,Debt Consolidation,CA,Executive,Employed,"$100,000+",9166.666667,2000,2012-07-02,177.92,2012
36,non-remittance,0.30532,0.2699,D,Business,GA,Other,Employed,"$50,000-74,999",4500.0,8088,2011-06-28,330.13,2011
36,Completed,0.18173,0.1599,B,Other,TX,Laborer,Employed,"$25,000-49,999",2750.0,4000,2011-06-07,140.61,2011
60,Completed,0.27246,0.2468,C,Debt Consolidation,KS,Other,Employed,"$50,000-74,999",4250.0,7500,2012-03-26,218.73,2012
36,non-remittance,0.34887,0.3125,HR,Debt Consolidation,TN,Administrative Assistant,Employed,"$25,000-49,999",2775.0,4000,2011-02-25,172.56,2011
12,Completed,0.35843,0.2669,E,Auto,MN,Construction,Full-time,"$50,000-74,999",5666.666667,6000,2011-06-10,575.2,2011
36,Completed,0.16147,0.1399,B,Other,GA,Other,Employed,"$50,000-74,999",5103.25,10000,2011-03-15,341.73,2011
36,non-remittance,0.18316,0.1469,B,Business,NJ,Professional,Employed,"$100,000+",9833.333333,15000,2012-07-05,517.71,2012
36,Completed,0.27286,0.2498,C,Debt Consolidation,NY,Other,Full-time,"$100,000+",13333.333333,7500,2010-05-07,298.12,2010
36,Completed,0.37453,0.35,HR,Student Use,CA,Computer Programmer,Full-time,"$50,000-74,999",4889.0,3000,2010-05-17,135.71,2010
60,Completed,0.3304,0.3032,E,Debt Consolidation,MI,Professional,Employed,"$100,000+",9166.666667,4000,2013-09-05,130.2,2013
36,Completed,0.12427,0.0964,A,Debt Consolidation,FL,Medical Technician,Employed,"$50,000-74,999",5000.0,3500,2012-04-23,112.34,2012
12,Completed,0.06589,0.0565,AA,Home Improvement,TX,Professor,Employed,"$100,000+",8333.333333,2000,2011-11-30,171.81,2011
36,Completed,0.22287,0.2005,C,Business,TX,Computer Programmer,Full-time,"$50,000-74,999",6041.666667,2000,2009-09-21,74.38,2009
60,Completed,0.22029,0.2056,B,Other,CA,Professional,Employed,"$100,000+",8666.666667,8000,2011-10-25,214.45,2011
12,Completed,0.09986,0.0628,A,Other,VA,Professional,Employed,"$75,000-99,999",8000.0,9000,2012-07-10,775.76,2012
36,Completed,0.22064,0.1983,C,Debt Consolidation,UT,Other,Full-time,"$50,000-74,999",4999.916667,3300,2010-07-07,122.35,2010
60,Completed,0.15784,0.1396,A,Debt Consolidation,NC,Other,Other,"$25,000-49,999",3333.333333,16000,2012-01-27,371.96,2012
36,Completed,0.30532,0.2699,D,Other,MI,Clerical,Employed,"$1-24,999",1733.333333,6500,2011-07-21,265.33,2011
36,Completed,0.08325,0.0699,AA,Taxes,FL,Professional,Employed,"$50,000-74,999",5000.0,3000,2013-04-01,92.62,2013
36,non-remittance,0.30532,0.2699,D,Auto,IL,Laborer,Employed,"$50,000-74,999",5083.333333,2000,2011-08-23,81.64,2011
36,Completed,0.33097,0.295,D,Debt Consolidation,MA,Truck Driver,Full-time,"$50,000-74,999",5250.0,7500,2010-12-08,316.34,2010
36,Completed,0.202,0.1799,B,Debt Consolidation,CA,Police Officer/Correction Officer,Employed,"$100,000+",9166.666667,15000,2011-10-28,542.21,2011
36,Completed,0.07539,0.072,AA,Auto,KY,Engineer - Mechanical,Employed,"$50,000-74,999",5833.333333,2500,2010-09-09,77.42,2010
36,Completed,0.08331,0.0799,AA,Auto,CA,Computer Programmer,Employed,"$100,000+",10416.666667,7000,2011-09-09,219.32,2011
36,Completed,0.06327,0.0599,AA,Debt Consolidation,MD,Other,Full-time,"$100,000+",8333.333333,7000,2011-04-05,212.92,2011
36,Completed,0.2951,0.2599,D,Other,GA,Other,Employed,"$100,000+",12083.333333,10000,2011-10-27,402.85,2011
36,Completed,0.124,0.1029,A,Debt Consolidation,PA,Executive,Full-time,"$100,000+",9187.5,13500,2011-07-29,437.45,2011
12,Completed,0.05927,0.0499,AA,Debt Consolidation,CA,Computer Programmer,Employed,"$75,000-99,999",6333.333333,3500,2011-02-23,299.61,2011
12,Completed,0.35843,0.2669,E,Debt Consolidation,CA,Food Service,Employed,"$25,000-49,999",2083.333333,2000,2011-07-05,191.73,2011
36,Completed,0.12309,0.102,A,Debt Consolidation,CA,Computer Programmer,Full-time,"$100,000+",14500.0,10000,2010-05-25,323.61,2010
12,Completed,0.35843,0.2669,E,Other,NC,Analyst,Employed,"$50,000-74,999",4958.333333,2000,2011-03-22,151.01,2011
36,Completed,0.38723,0.35,HR,Debt Consolidation,TX,Food Service Management,Full-time,"$50,000-74,999",4579.583333,3000,2010-11-12,135.71,2010
36,Completed,0.16147,0.1399,B,Debt Consolidation,VT,Engineer - Electrical,Employed,"$50,000-74,999",4844.75,15000,2011-03-09,512.59,2011
36,Completed,0.13413,0.1129,A,Home Improvement,MI,Administrative Assistant,Employed,"$25,000-49,999",3000.0,2000,2011-09-29,65.75,2011
36,Completed,0.124,0.1029,A,Debt Consolidation,NC,Professional,Employed,"$50,000-74,999",6083.333333,9500,2011-09-15,307.83,2011
12,Completed,0.33084,0.2399,D,Auto,MI,Skilled Labor,Employed,"$50,000-74,999",4166.666667,4000,2011-04-26,376.29,2011
36,Completed,0.06828,0.0649,AA,Debt Consolidation,MO,Professional,Employed,"$100,000+",12204.166667,25000,2012-02-22,766.11,2012
36,non-remittance,0.24246,0.2049,C,Household Expenses,NV,Clerical,Employed,"$25,000-49,999",2240.0,7000,2012-03-23,261.9,2012
36,Completed,0.16005,0.1385,B,Home Improvement,TX,Truck Driver,Full-time,"$50,000-74,999",5416.666667,3500,2010-06-11,119.37,2010
36,Completed,0.30532,0.2699,D,Home Improvement,TX,Other,Employed,"$50,000-74,999",5833.333333,4000,2011-06-06,163.28,2011
36,Completed,0.17018,0.1485,B,Debt Consolidation,MN,Food Service Management,Full-time,"$50,000-74,999",4876.833333,8600,2010-02-17,297.49,2010
60,Completed,0.28324,0.2573,D,Medical/Dental,AZ,Clerical,Employed,"$25,000-49,999",2833.333333,15000,2012-09-10,446.71,2012
36,non-remittance,0.35797,0.3177,HR,Business,MD,Sales - Retail,Self-employed,"$25,000-49,999",2916.666667,4000,2012-03-02,173.71,2012
36,Completed,0.35643,0.3199,E,Debt Consolidation,CA,Nurse (RN),Employed,"$100,000+",9583.333333,3500,2011-05-24,152.42,2011
36,Completed,0.24822,0.2255,C,Business,CA,Sales - Retail,Full-time,"$25,000-49,999",2800.0,2000,2010-07-01,74.24,2010
36,Completed,0.38723,0.35,HR,Debt Consolidation,FL,Other,Employed,"$25,000-49,999",2083.333333,4000,2010-11-23,180.94,2010
36,Completed,0.26192,0.23,E,Debt Consolidation,MD,Teacher,Part-time,"$1-24,999",1416.666667,1200,2010-06-15,46.45,2010
36,Completed,0.35797,0.3177,HR,Household Expenses,MI,Other,Employed,"$50,000-74,999",6018.583333,3000,2012-08-17,130.28,2012
36,non-remittance,0.24246,0.2049,C,Debt Consolidation,MS,Clerical,Employed,"$25,000-49,999",2250.0,2500,2012-03-12,93.53,2012
36,Completed,0.35654,0.32,HR,Business,VA,Executive,Full-time,"$75,000-99,999",6666.666667,7500,2010-12-06,326.66,2010
36,Completed,0.16147,0.1399,B,Other,OH,Other,Employed,"$25,000-49,999",2500.0,5000,2011-03-17,170.86,2011
36,non-remittance,0.17322,0.1515,B,Business,NJ,Laborer,Employed,"$25,000-49,999",2204.75,4200,2010-10-29,145.9,2010
60,Completed,0.16289,0.149,A,Home Improvement,GA,Professional,Employed,"$100,000+",8416.666667,13000,2011-07-07,308.59,2011
36,non-remittance,0.37453,0.35,HR,Debt Consolidation,IN,Analyst,Full-time,"$75,000-99,999",7223.0,5000,2010-05-28,226.18,2010
60,Completed,0.3142,0.2899,D,Debt Consolidation,VA,Other,Not employed,Not employed,0.0,12000,2011-05-25,380.83,2011
36,non-remittance,0.35797,0.3177,HR,Debt Consolidation,KS,Laborer,Employed,"$25,000-49,999",2916.666667,4000,2012-03-12,173.71,2012
36,Completed,0.30968,0.25,HR,Business,CA,Other,Self-employed,"$25,000-49,999",3750.0,1000,2010-12-13,39.76,2010
36,Completed,0.23121,0.1939,C,Debt Consolidation,FL,Professional,Employed,"$50,000-74,999",4916.666667,2500,2012-11-30,92.13,2012
36,Completed,0.28851,0.2499,D,Debt Consolidation,MO,Teacher,Employed,"$50,000-74,999",4333.333333,15000,2012-06-28,596.32,2012
60,Completed,0.21989,0.2005,B,Business,FL,Computer Programmer,Employed,"$75,000-99,999",6666.666667,15000,2012-01-11,397.83,2012
36,Completed,0.24758,0.2099,C,Debt Consolidation,UT,Other,Employed,"$75,000-99,999",8166.666667,11000,2012-09-27,414.37,2012
60,Completed,0.25564,0.2304,D,Debt Consolidation,CA,Other,Employed,"$50,000-74,999",5500.0,15000,2013-12-04,423.2,2013
36,Completed,0.15538,0.127,A,Other,HI,Military Enlisted,Employed,"$50,000-74,999",5833.333333,25000,2012-06-28,838.74,2012
36,Completed,0.11296,0.092,A,Other,IL,Analyst,Full-time,"$1-24,999",2080.0,3800,2010-03-24,121.19,2010
36,non-remittance,0.33861,0.31,E,Home Improvement,OH,Skilled Labor,Full-time,"$25,000-49,999",2750.0,1400,2010-07-16,60.2,2010
36,non-remittance,0.35797,0.3177,HR,Debt Consolidation,NV,Teacher,Employed,"$75,000-99,999",6833.333333,4000,2012-12-10,173.71,2012
36,Completed,0.25424,0.2199,D,Debt Consolidation,FL,Professional,Employed,"$50,000-74,999",4333.333333,12500,2011-03-30,477.32,2011
36,Completed,0.2353,0.1979,C,Debt Consolidation,NY,Teacher,Employed,"$75,000-99,999",6916.666667,2000,2013-06-24,74.11,2013
36,Completed,0.16056,0.139,A,Debt Consolidation,NY,Other,Employed,"$50,000-74,999",5000.0,3000,2011-10-06,102.39,2011
36,Completed,0.12511,0.104,A,Auto,FL,Clerical,Full-time,"$25,000-49,999",2708.333333,5000,2009-12-01,162.28,2009
36,non-remittance,0.35797,0.3177,HR,Debt Consolidation,NC,Truck Driver,Employed,"$50,000-74,999",4583.333333,4000,2012-05-01,173.71,2012
36,non-remittance,0.34621,0.3099,E,Debt Consolidation,MO,Accountant/CPA,Employed,"$50,000-74,999",4583.333333,7500,2011-06-20,322.47,2011
36,non-remittance,0.16005,0.1385,B,Debt Consolidation,SD,Other,Self-employed,"$100,000+",25000.0,3000,2010-06-11,102.31,2010
36,Completed,0.21045,0.1795,E,Other,NY,Other,Not employed,Not employed,0.0,1200,2009-10-28,43.35,2009
36,Completed,0.38058,0.3435,E,Auto,OK,Teacher,Full-time,"$25,000-49,999",3166.666667,7500,2010-09-30,336.52,2010
36,non-remittance,0.11397,0.1105,AA,Debt Consolidation,MT,Truck Driver,Full-time,"$25,000-49,999",3750.0,2400,2010-06-09,78.63,2010
36,Completed,0.22872,0.1949,C,Other,IL,Teacher,Employed,"$25,000-49,999",2916.666667,2000,2011-03-28,73.81,2011
36,Completed,0.2951,0.2599,D,Debt Consolidation,VA,Professional,Employed,"$50,000-74,999",4983.333333,2000,2011-05-09,80.57,2011
60,Completed,0.20879,0.1847,B,Debt Consolidation,VA,Other,Other,"$25,000-49,999",2858.166667,15000,2013-01-30,384.75,2013
36,Completed,0.27569,0.25,D,Business,NJ,Other,Full-time,$0,0.0,1500,2010-06-15,59.64,2010
36,Completed,0.35797,0.3177,HR,Debt Consolidation,NV,Other,Employed,"$25,000-49,999",3827.833333,4000,2012-03-29,173.71,2012
36,non-remittance,0.2325,0.21,C,Debt Consolidation,NY,Truck Driver,Full-time,"$25,000-49,999",3466.666667,4000,2010-05-05,150.7,2010
36,Completed,0.35643,0.3199,E,Debt Consolidation,PA,Military Enlisted,Employed,"$50,000-74,999",4800.0,3000,2011-08-24,130.65,2011
36,Completed,0.35858,0.322,E,Debt Consolidation,NY,Other,Self-employed,"$50,000-74,999",4166.666667,6500,2010-12-17,283.83,2010
36,non-remittance,0.19236,0.1559,B,Business,WI,Other,Other,"$100,000+",11546.166667,15000,2013-03-04,524.32,2013
36,Completed,0.18751,0.1656,B,Debt Consolidation,CO,Professional,Full-time,"$75,000-99,999",7000.0,9000,2011-11-02,318.91,2011
36,Completed,0.27467,0.2399,D,Not Available,OH,Other,Employed,"$25,000-49,999",2416.666667,6350,2011-08-31,249.1,2011
36,non-remittance,0.34887,0.3125,HR,Debt Consolidation,OH,Administrative Assistant,Employed,"$25,000-49,999",2500.0,4000,2011-07-19,172.56,2011
36,Completed,0.35797,0.3177,HR,Debt Consolidation,MS,Teacher,Employed,"$50,000-74,999",4333.333333,4000,2011-12-09,173.71,2011
36,Completed,0.17359,0.1449,B,Debt Consolidation,CA,Computer Programmer,Employed,"$50,000-74,999",4166.666667,5000,2012-02-06,172.08,2012
36,Completed,0.34887,0.3125,HR,Other,NC,Other,Employed,"$25,000-49,999",3666.666667,4000,2011-06-30,172.56,2011
60,non-remittance,0.17849,0.1551,A,Other,MI,Other,Employed,"$75,000-99,999",6500.0,25000,2012-06-28,601.46,2012
36,Completed,0.25781,0.2199,D,Debt Consolidation,TX,Accountant/CPA,Employed,"$25,000-49,999",3250.0,8000,2013-03-20,305.48,2013
36,Completed,0.16056,0.139,A,Debt Consolidation,CT,Attorney,Employed,"$100,000+",10416.666667,7000,2011-09-13,238.9,2011
60,Completed,0.22549,0.201,D,Debt Consolidation,CA,Professional,Employed,"$100,000+",10000.0,15000,2013-11-27,398.24,2013
36,Completed,0.325,0.3012,D,Debt Consolidation,CA,Analyst,Full-time,"$75,000-99,999",6250.0,2500,2010-04-07,106.29,2010
36,Completed,0.32538,0.2859,E,Debt Consolidation,IL,Computer Programmer,Employed,"$100,000+",20833.333333,4000,2013-05-09,166.73,2013
60,Completed,0.22262,0.1982,B,Large Purchases,FL,Skilled Labor,Employed,"$25,000-49,999",2500.0,9000,2013-01-24,237.54,2013
36,Completed,0.2837,0.2452,D,Home Improvement,WI,Executive,Employed,"$25,000-49,999",3741.666667,3500,2012-04-12,138.27,2012
36,Completed,0.12539,0.1219,AA,Debt Consolidation,NJ,Retail Management,Full-time,"$50,000-74,999",6000.0,1500,2010-05-06,49.96,2010
36,Completed,0.18316,0.1469,B,Debt Consolidation,IL,Sales - Retail,Employed,"$25,000-49,999",3500.0,4000,2012-06-21,138.05,2012
36,non-remittance,0.41355,0.35,HR,Debt Consolidation,PA,Professional,Employed,"$100,000+",9166.666667,1000,2010-11-23,45.24,2010
36,Completed,0.19546,0.1664,B,Debt Consolidation,NM,Administrative Assistant,Employed,"$25,000-49,999",2333.333333,3500,2011-11-25,124.16,2011
36,Completed,0.33973,0.2999,E,Debt Consolidation,NC,Accountant/CPA,Employed,"$25,000-49,999",2500.0,4000,2012-02-21,169.78,2012
36,Completed,0.33553,0.2958,E,Debt Consolidation,WA,Other,Employed,"$50,000-74,999",4333.333333,2500,2012-07-09,105.55,2012
36,non-remittance,0.12427,0.0964,A,Debt Consolidation,NY,Other,Full-time,"$50,000-74,999",4250.0,10500,2012-07-10,337.03,2012
36,Completed,0.24758,0.2099,C,Debt Consolidation,OH,Professional,Employed,"$50,000-74,999",5191.666667,9500,2012-10-10,357.86,2012
36,Completed,0.18478,0.1559,B,Debt Consolidation,WA,Professional,Employed,"$75,000-99,999",6364.75,3000,2011-12-29,104.86,2011
36,Completed,0.22237,0.2,D,Other,GA,Other,Full-time,"$50,000-74,999",4666.666667,3200,2010-06-23,118.92,2010
36,Completed,0.15833,0.1299,A,Debt Consolidation,CO,Professional,Employed,"$50,000-74,999",5416.666667,6000,2012-09-27,202.13,2012
60,Completed,0.1933,0.179,A,Home Improvement,MA,Computer Programmer,Employed,"$25,000-49,999",2500.0,10000,2011-10-31,253.39,2011
36,Completed,0.28574,0.2625,D,Other,NC,Other,Retired,"$1-24,999",833.333333,4900,2010-04-06,198.08,2010
36,Completed,0.35643,0.3199,E,Other,FL,Professional,Employed,"$50,000-74,999",5625.0,5000,2011-08-29,217.74,2011
36,Completed,0.07439,0.071,AA,Home Improvement,NY,Military Enlisted,Full-time,"$25,000-49,999",3333.333333,2000,2010-04-16,61.85,2010
36,non-remittance,0.20462,0.1679,B,Home Improvement,VA,Computer Programmer,Employed,"$100,000+",12500.0,20000,2013-07-29,710.97,2013
36,non-remittance,0.25486,0.2205,C,Debt Consolidation,WI,Engineer - Electrical,Employed,"$50,000-74,999",4833.333333,5000,2011-10-17,191.08,2011
36,Completed,0.41355,0.35,HR,Debt Consolidation,FL,Executive,Full-time,"$75,000-99,999",6250.0,1000,2010-12-03,45.24,2010
36,Completed,0.27296,0.2499,D,Business,TX,Nurse (RN),Full-time,"$100,000+",8333.333333,6000,2009-09-22,238.53,2009
36,Completed,0.11296,0.092,A,Debt Consolidation,FL,Other,Full-time,"$50,000-74,999",4166.666667,5000,2010-02-24,159.46,2010
36,Completed,0.19095,0.169,C,Debt Consolidation,FL,Executive,Full-time,"$25,000-49,999",3000.0,2000,2009-11-27,71.21,2009
36,Completed,0.2832,0.26,D,Home Improvement,MO,Sales - Commission,Full-time,"$50,000-74,999",5166.666667,2000,2009-12-08,80.58,2009
12,Completed,0.17969,0.1224,B,Debt Consolidation,CA,Computer Programmer,Employed,"$100,000+",8333.333333,3600,2012-07-09,320.26,2012
12,Completed,0.17688,0.1,B,Household Expenses,NC,Flight Attendant,Employed,"$25,000-49,999",3333.333333,2000,2012-01-23,175.83,2012
36,Completed,0.10993,0.089,A,Business,IL,Professional,Full-time,"$50,000-74,999",5333.333333,8000,2011-03-17,254.03,2011
36,non-remittance,0.34621,0.3099,E,Debt Consolidation,CA,Other,Employed,"$75,000-99,999",7500.0,7500,2011-07-22,322.47,2011
36,Completed,0.25494,0.2171,C,Other,AL,Other,Employed,"$25,000-49,999",3525.0,2000,2011-11-30,76.08,2011
36,Completed,0.29537,0.2566,D,Debt Consolidation,NC,Nurse (RN),Employed,"$75,000-99,999",6500.0,9000,2013-03-25,360.99,2013
36,Completed,0.06437,0.061,AA,Debt Consolidation,FL,Attorney,Full-time,"$50,000-74,999",6083.333333,6000,2010-01-25,182.8,2010
36,Completed,0.20321,0.1699,C,Other,FL,Military Enlisted,Full-time,"$75,000-99,999",8118.0,7400,2011-05-26,263.79,2011
60,non-remittance,0.31375,0.287,D,Debt Consolidation,NY,Other,Other,"$1-24,999",2041.666667,15000,2012-07-03,473.39,2012
36,non-remittance,0.17322,0.1515,B,Business,PA,Other,Employed,"$50,000-74,999",6008.333333,6000,2010-09-16,208.43,2010
36,Completed,0.37453,0.35,E,Business,FL,Sales - Retail,Full-time,"$25,000-49,999",2250.0,2500,2010-07-30,113.09,2010
60,non-remittance,0.31848,0.2916,E,Debt Consolidation,NV,Other,Full-time,"$50,000-74,999",4583.333333,3500,2013-05-07,111.44,2013
36,Completed,0.11535,0.092,A,Debt Consolidation,UT,Teacher,Full-time,"$25,000-49,999",3750.0,1500,2010-05-17,47.84,2010
36,non-remittance,0.202,0.1799,B,Other,HI,Professional,Employed,"$100,000+",9166.666667,15000,2011-08-12,542.21,2011
60,non-remittance,0.35838,0.3304,E,Debt Consolidation,TX,Truck Driver,Employed,"$25,000-49,999",4000.0,4000,2012-06-12,136.98,2012
36,Completed,0.27467,0.2399,D,Debt Consolidation,NV,Pharmacist,Employed,"$100,000+",10416.666667,10000,2011-08-17,392.28,2011
36,Completed,0.202,0.1799,B,Other,WI,Other,Employed,"$25,000-49,999",3583.333333,7500,2011-09-15,271.11,2011
